trade_id,entry_time,exit_time,direction,entry_price,exit_price,exit_reason,holding_candles,spread_pct,fees_pct,cost_total_pct,pnl_gross_pct,pnl_net_pct,mae_pct,mfe_pct,ema50_at_entry,ema100_at_entry,stoch_k_at_entry,stoch_d_at_entry,pullback_stoch_min,pullback_stoch_max,volatility_regime,trend_regime,split,month,spec_hash,pb_depth_bucket
0,2025-05-30 12:24:00,2025-05-30 12:25:00,SHORT,105267.63,105346.5807225,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999804,-0.0015999999999999803,0.0017514405900464875,0.0,105653.41134505883,105741.90870403385,33.461790048940195,48.41327384576283,33.461790048940195,90.2296323439591,Medium,Trending,train,2025-05,65d674ca66c2,
1,2025-06-01 14:47:00,2025-06-01 14:48:00,LONG,104773.59,104695.0098075,SL,1,5e-05,0.0008,0.0008500000000000001,-0.000749999999999979,-0.001599999999999979,0.0016932702220092248,0.0,104584.15181790768,104469.57708671164,65.70631693038267,69.72077349736499,22.414736059156326,80.97432519107737,High,Trending,train,2025-06,65d674ca66c2,
2,2025-06-03 15:06:00,2025-06-03 15:09:00,LONG,106572.39,106492.4607075,SL,3,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000424,-0.0016000000000000424,0.0012804442126146032,0.000260667889685113,106161.30718661111,105867.55165922559,48.467464958692794,27.606261969339993,8.748424820115357,48.467464958692794,High,Trending,train,2025-06,65d674ca66c2,5-10
3,2025-06-03 15:36:00,2025-06-03 15:46:00,LONG,106663.41,106583.4124425,SL,10,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999901,-0.0015999999999999903,0.0007747736548081429,0.0007711172931748572,106479.94090331667,106201.88744735389,31.559004627101288,22.897376209366517,11.363760543878131,35.23499437916806,Medium,Trending,train,2025-06,65d674ca66c2,10-15
4,2025-06-05 14:33:00,2025-06-05 14:34:00,SHORT,104100.0,104178.075,SL,1,5e-05,0.0008,0.0008500000000000001,-0.000749999999999972,-0.001599999999999972,0.0014452449567723064,0.0,104440.40054659494,104759.84764056385,50.667530116958964,56.22940044126003,43.08470110068583,94.88263292143375,High,Trending,train,2025-06,65d674ca66c2,
5,2025-06-06 15:15:00,2025-06-06 15:17:00,LONG,105166.78,105087.90491499999,SL,2,5e-05,0.0008,0.0008500000000000001,-0.000750000000000066,-0.0016000000000000662,0.0016449110641212487,0.0015805371239853607,104718.09392780159,104548.91212364897,94.13192511327144,82.075674863406,26.728382456378885,94.13192511327144,High,Trending,train,2025-06,65d674ca66c2,
6,2025-06-08 15:41:00,2025-06-08 15:59:00,LONG,105998.65,105984.52,EOD,18,5e-05,0.0008,0.0008500000000000001,-0.00013330358452669073,-0.0009833035845266908,0.0006147248101743649,0.00057812057040348,105934.89496917852,105873.28784108504,79.75049396077854,49.069105575518016,5.1658944453230005,79.75049396077854,Low,Trending,train,2025-06,65d674ca66c2,5-10
7,2025-06-09 12:18:00,2025-06-09 12:20:00,LONG,107686.57,107605.8050725,SL,2,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000032,-0.0016000000000000033,0.0008669604761299443,0.0,106861.39899120227,106460.31525743185,71.6068111458868,47.31560567960421,11.026372277993802,71.6068111458868,High,Trending,train,2025-06,65d674ca66c2,10-15
8,2025-06-09 12:56:00,2025-06-09 13:12:00,LONG,107745.85,107665.0406125,SL,16,5e-05,0.0008,0.0008500000000000001,-0.000750000000000046,-0.001600000000000046,0.0009906646056437925,0.001369426293448781,107551.78530638658,107136.14053851602,52.51931745868486,42.19742978412843,12.665521191295147,52.51931745868486,High,Trending,train,2025-06,65d674ca66c2,10-15
9,2025-06-10 12:17:00,2025-06-10 12:25:00,LONG,109571.43,109489.25142749998,SL,8,5e-05,0.0008,0.0008500000000000001,-0.0007500000000000745,-0.0016000000000000745,0.0010827640015284954,0.0002021512359563869,108667.99542771858,108261.06929822174,79.25872070169193,59.389655574848206,18.403169731200748,79.25872070169193,Low,Trending,train,2025-06,65d674ca66c2,15-20
10,2025-06-10 12:42:00,2025-06-10 13:12:00,LONG,109576.31,109689.81,MAX_HOLD,30,5e-05,0.0008,0.0008500000000000001,0.0010358078310904976,0.0001858078310904975,0.0003859410852582424,0.001128802384384018,109193.72754472028,108749.35370096476,64.60965536730744,44.067957377437246,1.4646229791256606,64.60965536730744,Medium,Trending,train,2025-06,65d674ca66c2,0-5
11,2025-06-12 12:41:00,2025-06-12 12:42:00,SHORT,107284.72,107365.18354,SL,1,5e-05,0.0008,0.0008500000000000001,-0.0007499999999999722,-0.001599999999999972,0.001056441215487131,0.0,107592.57605924722,108252.54689832413,77.88326803470004,81.68805194605325,77.09213840197418,96.28536461149389,High,Trending,train,2025-06,65d674ca66c2,
12,2025-06-13 12:18:00,2025-06-13 12:48:00,SHORT,105110.41,104950.0,MAX_HOLD,30,5e-05,0.0008,0.0008500000000000001,0.0015261095451916083,0.0006761095451916083,0.0006620657268865805,0.001914177672791849,106106.91819274797,106634.05470048316,40.42509375973777,65.54407469240446,40.42509375973777,99.55068674300402,High,Trending,train,2025-06,65d674ca66c2,
13,2025-06-15 12:45:00,2025-06-15 13:01:00,LONG,105113.02,105323.24604,TP,16,5e-05,0.0008,0.0008500000000000001,0.0019999999999999437,0.0011499999999999436,0.00043334308157070276,0.0021281854521922887,105032.37599426597,104993.06541581928,46.929667264400145,32.746834227899846,18.93785275342531,53.06862164530268,High,Trending,train,2025-06,65d674ca66c2,15-20
14,2025-06-15 13:22:00,2025-06-15 13:37:00,LONG,105439.73,105360.6502025,SL,15,5e-05,0.0008,0.0008500000000000001,-0.000750000000000022,-0.001600000000000022,0.0010332917203031257,0.0014782852725439444,105284.36326676377,105174.39439601371,68.88322772913627,40.49801246671319,1.8568336425471557,68.88322772913627,High,Trending,train,2025-06,65d674ca66c2,0-5
15,2025-06-15 13:44:00,2025-06-15 13:46:00,LONG,105447.99,105658.88598,TP,2,5e-05,0.0008,0.0008500000000000001,0.002000000000000011,0.0011500000000000108,0.0,0.002013504477420503,105363.82040900105,105264.36172992841,74.05757377056257,47.25887001301451,15.392024697483818,74.05757377056257,High,Trending,train,2025-06,65d674ca66c2,15-20
16,2025-06-15 13:56:00,2025-06-15 14:03:00,LONG,105540.0,105460.845,SL,7,5e-05,0.0008,0.0008500000000000001,-0.000749999999999989,-0.001599999999999989,0.0010990145916240784,0.00018950161076369148,105430.50442107681,105323.36284883524,42.745510437501046,30.469969733139596,13.470763935239981,42.745510437501046,Medium,Trending,train,2025-06,65d674ca66c2,10-15
